Business/Name,Primary Specialty,Website,Instagram (verify),Notes / Personalization hook,Channel,Status
Nicole Ashley Photography,Portrait/Wedding/Boudoir,https://www.nicoleashley.ca/,@nicoleashleyphoto (verify),"15 yrs pro, award-winning, international work — high-value anchor prospect",Email,Not contacted
Lily Laidlaw Photography,Fine-art Wedding/Portrait/Branding,https://lilylaidlawphotography.ca/,@lilylaidlawphoto (verify),"Destination fine-art; also does branding/headshots — cross-specialty",Email,Not contacted
Shayna Fearn Photography,Wedding/Family/Maternity,(search),(search),"8 yrs, hundreds of families + weddings",Email+IG,Not contacted
TL Portraitz,Wedding,(search),(search),"Lead photographer Tan, 10+ yrs wedding expertise",Email,Not contacted
Carlos Vicente Photography,Wedding,(search),(search),"Featured in Confetti Mag & Rocky Mountain Bride; $5-6.8k packages — premium tier",Email,Not contacted
Amy Bean Photography,Wedding/Lifestyle,(search),(search),"Natural, relaxed, ambient style",Email+IG,Not contacted
Ivy Elle Photography,Family/Maternity/Newborn/Lifestyle,(search),@ivyellephotography,"Natural light; booking 2026 calendar now",IG,Not contacted
Wild Love Photos,Wedding/Family,https://wildlovephotos.ca/,(verify),"Has studio; booking 2027 weddings — strong forward pipeline",Email+IG,Not contacted
Redwagon Photography,Motherhood/Family/Newborn/Boudoir,https://redwagonphotography.ca/,(verify),"25+ yrs; Lendrum studio",Email,Not contacted
Photography by Dawn (Dawn Weir),Newborn/Maternity/Family,https://www.photographybydawn.ca/,(verify),"St. Albert boutique studio; books 2-3 mo ahead, $100 deposit",Email,Not contacted
Little One Photo,Family/Maternity,https://littleonephoto.com/,(verify),"Editorial maternity gowns; stress-free sessions; online booking",Email+IG,Not contacted
Vannessa Brown Photography,Family,https://www.vannessabrown.com/,(verify),"$475 mini sessions, 35+ edited images",Email+IG,Not contacted
Megan Onuferko Photography,Family/Motherhood,https://meganonuferko.com/,(verify),"Candid warm imperfect style; requires consult call",Email+IG,Not contacted
Christy Wells Photography,Newborn/Family/Branding,https://www.christywells.com/,(verify),"Newborn + branding crossover",Email+IG,Not contacted
Gabriela Cruz Photography,Maternity/Boudoir,https://www.gabrielacruz.ca/,(verify),"Studio maternity + boudoir style",Email+IG,Not contacted
Simply B Photos,Newborn/Baby/Family,https://bphotos.ca/,(verify),"South Edmonton studio; 250+ backdrops, big prop library",Email,Not contacted
Elizabeth Faye Photography,Maternity/Newborn/Family,https://elizabethfayephotography.com/,(verify),"Since 2015; complimentary hair/makeup w/ maternity",Email+IG,Not contacted
Rayne Drop Photography,Newborn/Maternity,https://raynedropphotography.com/,(verify),"Newborn + maternity focus",Email+IG,Not contacted
Kelsie Kelly Photographer,Maternity/Newborn,http://kelsiekellyphoto.com/,(verify),"Luxury studio maternity/newborn",Email+IG,Not contacted
Cynthia Priest Photography,Maternity,https://cynthiapriestphotography.com/,(verify),"Modern/minimalist studio sets",Email+IG,Not contacted
Jennifer George Photography,Headshots/Branding/Real estate,https://www.jennifergeorgephotography.ca/,(verify),"Business/team headshots + drone for real estate",Email,Not contacted
Daniel Friesen Photography,Headshots/Commercial/Branding,https://danielfriesen.photography/,(verify),"Edmonton + St. Albert; corporate teams, realtors, product",Email,Not contacted
Brock Kryton Photography,Commercial/Portrait,https://www.brockkryton.com/,(verify),"Commercial + portrait crossover",Email,Not contacted
Flux Media YEG,Commercial/Headshots/Branding,https://fluxmediayeg.com/,(verify),"10+ yrs; realtor headshots for MLS/signage; team/product",Email,Not contacted
Moments in Digital,Commercial,https://momentsindigital.com/,(verify),"Downtown studio (Great West Saddlery Bldg); mobile studio option",Email,Not contacted
Steven Li Photography,Commercial/Branding/Real estate,(search),(verify),"7+ yrs; social content for IG/FB/LinkedIn",Email+IG,Not contacted
